url,listing_id,zipcode,monthly_rent,bedrooms,bathrooms,square_feet,walk_score,transit_score,deposit,latitude,longitude,neighborhood,nbhd
https://www.apartments.com/lighthouse-landings-indianapolis-in/efqw9gn/,efqw9gn,46217,1218,1,1,890,21,0,1218,39.66844,-86.19806,Southern Dunes,Southern Dunes
https://www.apartments.com/brockton-apartments-townhomes-indianapolis-in/n7gqz6n/,n7gqz6n,46220,759,0,1,444,25,29,759,39.85694,-86.11167,Indianapolis,Indianapolis
https://www.apartments.com/historic-audubon-court-indianapolis-in/pjywwws/,pjywwws,46219,640,0,1,410,77,37,640,39.77049,-86.06985,Irvington,Irvington
https://www.apartments.com/wellington-village-indianapolis-in/tpjvd9c/,tpjvd9c,46219,825,2,1,1220,10,34,350,39.79175,-86.03219,East Warren,East Warren
https://www.apartments.com/strawbridge-green-indianapolis-in/w5vpx1h/,w5vpx1h,46237,910,2,1,807,7,26,910,39.69952,-86.09752,South Emerson,South Emerson
https://www.apartments.com/wellington-square-apartments-indianapolis-in/34js65e/,34js65e,46220,645,1,1,555,87,39,645,39.87245,-86.14551,Broad Ripple,Broad Ripple
https://www.apartments.com/madison-lofts-indianapolis-in/zpq104w/,zpq104w,46225,785,1,1,583,50,35,785,39.74754,-86.15481,Near Southside,Near Southside
https://www.apartments.com/braeburn-village-indianapolis-in/3yrph6f/,3yrph6f,46219,703,1,1,600,38,29,703,39.79708,-86.02094,East Warren,East Warren
https://www.apartments.com/meridian-court-south-indianapolis-in/4ezhq6j/,4ezhq6j,46217,615,1,1,470,9,11,615,39.65922,-86.16273,Linden Wood,Linden Wood
https://www.apartments.com/fox-club-indianapolis-in/qchfybx/,qchfybx,46227,765,1,1,800,29,25,765,39.70198,-86.12025,University Heights,University Heights
https://www.apartments.com/butler-place-indianapolis-in/nhs553q/,nhs553q,46219,625,0,1,353,73,38,625,39.77064,-86.07945,Irvington,Irvington
https://www.apartments.com/the-meridian-south-indianapolis-in/8xcnes0/,8xcnes0,46260,765,0,1,445,19,29,500,39.88335,-86.19828,Crooked Creek,Crooked Creek
https://www.apartments.com/dawson-village-indianapolis-in/wdg6h2j/,wdg6h2j,46203,649,2,1,700,26,34,200,39.73206,-86.12754,Near Southeast,Near Southeast
https://www.apartments.com/college-courts-of-nora-indianapolis-in/p2x21vt/,p2x21vt,46240,814,1,1,475,24,22,814,39.92275,-86.14399,Nora Far Northside,Nora Far Northside
https://www.apartments.com/everly-at-meridian-hills-indianapolis-in/0eyqdb1/,0eyqdb1,46260,1399,2,1,1200,20,23,1399,39.87315,-86.17684,Delaware Trails,Delaware Trails
https://www.apartments.com/river-ridge-indianapolis-in/sy2xsz5/,sy2xsz5,46240,1174,1,1,625,37,0,1174,39.92387,-86.08854,Keystone,Keystone
https://www.apartments.com/woodhaven-park-apartment-indianapolis-in/vz17sre/,vz17sre,46254,720,1,1,650,37,0,720,39.83222,-86.2749,Northwest High School,Northwest High School
https://www.apartments.com/the-masters-apartments-indianapolis-in/k6ckpsc/,k6ckpsc,46250,1175,1,1,700,33,17,1175,39.91828,-86.04569,Castleton,Castleton
https://www.apartments.com/indy-flats-indianapolis-in/5l46s5q/,5l46s5q,46202,605,0,1,375,75,57,605,39.7847,-86.15449,Near Northside,Near Northside
https://www.apartments.com/stonybrook-commons-indianapolis-in/91ql9w7/,91ql9w7,46235,895,2,1,845,11,0,895,39.8129,-85.96642,Far Eastside,Far Eastside
https://www.apartments.com/kingston-square-apartments-indianapolis-in/d7rmzbl/,d7rmzbl,46226,769,0,1,578,48,36,769,39.82201,-86.04288,Arlington Woods,Arlington Woods
https://www.apartments.com/ashgrove-apartments-indianapolis-in/f3txf4s/,f3txf4s,46241,850,1,1,576,44,30,850,39.74949,-86.28094,Chapel Hill Ben Davis,Chapel Hill Ben Davis
https://www.apartments.com/notch-at-nora-indianapolis-in/494te5h/,494te5h,46240,1079,0,1,605,65,31,1079,39.91104,-86.13513,North Central,North Central
https://www.apartments.com/idlewood-apartments-indianapolis-in/1zlsyj4/,1zlsyj4,46214,830,1,1,595,39,35,830,39.82012,-86.28232,Eagle Creek,Eagle Creek
https://www.apartments.com/darby-court-indianapolis-in/0x1d5n2/,0x1d5n2,46224,626,1,1,495,30,0,626,39.79523,-86.27007,Indianapolis,Indianapolis
https://www.apartments.com/the-residence-at-white-river-apartments-indianapolis-in/1zy0xc6/,1zy0xc6,46228,1225,1,1,605,7,30,100,39.82598,-86.19661,Wynnedale Spring Hill,Wynnedale Spring Hill
https://www.apartments.com/westpark-townhomes-indianapolis-in/vl5hghe/,vl5hghe,46214,1244,1,1,650,33,30,1244,39.78232,-86.29999,Chapel Hill Ben Davis,Chapel Hill Ben Davis
https://www.apartments.com/cumberland-manor-indianapolis-in/tge35j9/,tge35j9,46229,1065,2,1,790,42,0,1065,39.78141,-85.95631,Cumberland,Cumberland
https://www.apartments.com/the-win-townhomes-indianapolis-in/dw9rvnh/,dw9rvnh,46220,1599,2,2.5,1074,91,38,1599,39.86764,-86.14152,Broad Ripple,Broad Ripple
https://www.apartments.com/the-fort-apartments-indianapolis-in/kjb3428/,kjb3428,46216,1117,1,1,648,44,0,1117,39.8583,-86.00629,Indianapolis,Indianapolis
https://www.apartments.com/historic-irvington-flats-indianapolis-in/g4fl6zx/,g4fl6zx,46219,869,0,1,600,63,37,869,39.76709,-86.07787,Irvington,Irvington
https://www.apartments.com/echo-ridge-indianapolis-in/ny1f3fm/,ny1f3fm,46239,894,1,1,773,10,0,250,39.71328,-86.01665,Five Points,Five Points
https://www.apartments.com/pangea-prairies-indianapolis-in/gl3g6zz/,gl3g6zz,46226,815,1,1,643,42,30,815,39.84004,-86.06409,Devington,Devington
https://www.apartments.com/murphys-landing-indianapolis-in/m7hj3rh/,m7hj3rh,46217,1151,1,1,700,60,0,1151,39.66597,-86.184,Dakota Ridge,Dakota Ridge
https://www.apartments.com/aura-indianapolis-in/lh8wmzg/,lh8wmzg,46228,986,1,1,1008,5,23,986,39.82589,-86.21032,Wynnedale Spring Hill,Wynnedale Spring Hill
https://www.apartments.com/apartments-marten-court-indianapolis-in/xgz8q4q/,xgz8q4q,46226,675,1,1,800,54,0,675,39.83355,-86.0296,Far Eastside,Far Eastside
https://www.apartments.com/the-brixton-beech-grove-in/k7h05y9/,k7h05y9,46107,959,1,1,650,55,0,959,39.69624,-86.0853,Beech Grove,Beech Grove
https://www.apartments.com/eagle-chase-indianapolis-in/d66lrdj/,d66lrdj,46254,1042,1,1,722,28,32,1042,39.83418,-86.28628,Eagle Creek,Eagle Creek
https://www.apartments.com/eagle-lake-landing-indianapolis-in/lrsn5nd/,lrsn5nd,46224,934,1,1,579,28,0,934,39.79228,-86.26266,Indianapolis,Indianapolis
https://www.apartments.com/pangea-courts-indianapolis-in/dn9c6vk/,dn9c6vk,46201,693,1,1,550,64,0,693,39.77836,-86.09458,Near Eastside,Near Eastside
https://www.apartments.com/woodbrook-apartments-indianapolis-in/e870xym/,e870xym,46254,1060,1,1,675,41,27,250,39.84763,-86.24303,Snacks Guion Creek,Snacks Guion Creek
https://www.apartments.com/lux-on-capitol-indianapolis-in/gmdq7yy/,gmdq7yy,46204,699,0,1,419,92,64,699,39.77529,-86.16086,North Meridian,North Meridian
https://www.apartments.com/castle-creek-apartments-indianapolis-in/l976t1d/,l976t1d,46250,1220,1,1,732,50,27,1220,39.91818,-86.07129,Castleton,Castleton
https://www.apartments.com/sebring-court-indianapolis-in/z2q88qw/,z2q88qw,46224,530,1,1,467,12,28,530,39.79152,-86.27182,Indianapolis,Indianapolis
https://www.apartments.com/shadeland-terrace-indianapolis-in/5yz5kvm/,5yz5kvm,46226,1200,2,1.5,1300,46,0,1200,39.84115,-86.04509,Indianapolis,Indianapolis
https://www.apartments.com/rosewood-commons-indianapolis-in/lr6rxkd/,lr6rxkd,46254,686,0,1,288,49,25,686,39.85154,-86.23761,Snacks Guion Creek,Snacks Guion Creek
