,url,listingid,ZIP,Monthly Rent,Bedrooms,Bathrooms,Square Feet,walkScore,transitScore,Deposit,latitude,longitude,Pet,neighborhood
250,https://www.apartments.com/the-steeples-on-washington-indianapolis-in/6xmskxt/,6xmskxt,46222,"$956 - $1,323",1 - 3 bd,1 - 2 ba,"762 - 1,359 sq ft",60,35,,39.76619,-86.20841,,Hawthorne
251,https://www.apartments.com/mozzo-indianapolis-in/mklzg7h/,mklzg7h,46203,"$1,081 - $2,013",Studio - 2 bd,1 - 2 ba,"512 - 1,069 sq ft",80,61,,39.75908,-86.14738,,Fletcher Place
252,https://www.apartments.com/5375-clarendon-rd-indianapolis-in/5y680lp/,5y680lp,46208,"$1,890",3 bd,1 ba,"1,356 sq ft",19,0,,39.85023,-86.17118,,Butler-Tarkington
253,https://www.apartments.com/953-prospect-st-indianapolis-in/spg39f6/,spg39f6,46203,"$1,395",1 bd,1 ba,750 sq ft,88,41,"$1,395 deposit",39.75187,-86.14162,0,Fountain Square
254,https://www.apartments.com/10947-delphi-drive-camby-in/3e184yd/,3e184yd,46113,"$2,095",4 bd,2.5 ba,"3,104 sq ft",41,0,,39.63647,-86.32749,,Camby
255,https://www.apartments.com/malls/in/indianapolis/mid-city-plaza/c3fsyng/,,,,,,,,,,,,,
256,https://www.apartments.com/a-62-indianapolis-in/bdbc678/,bdbc678,46220,"$1,050 - $1,350",2 - 3 bd,1 - 1.5 ba,"802 - 1,064 sq ft",40,26,,39.86737,-86.09608,,Allisonville
257,https://www.apartments.com/northwoods-apartments-indianapolis-in/3cnsc5d/,3cnsc5d,46234,$640 - $846,Studio - 2 bd,1 ba,415 - 800 sq ft,31,30,,39.77615,-86.32358,,Chapel Hill Ben Davis
258,https://www.apartments.com/willow-brook-indianapolis-in/syndj16/,syndj16,46205,$900,1 - 2 bd,1 ba,700 - 800 sq ft,76,30,,39.84737,-86.12469,,Fairgrounds
259,https://www.apartments.com/3919-winthrop-ave-indianapolis-in/87m0g92/,87m0g92,46205,"$1,700",2 bd,1 ba,"1,680 sq ft",52,47,"$1,700 deposit",39.82738,-86.14066,,Fairgrounds
260,https://www.apartments.com/highland-pointe-indianapolis-in/g6l4b7y/,g6l4b7y,46228,"$735 - $1,025",1 - 2 bd,1 - 2 ba,"685 - 1,050 sq ft",27,25,,39.85027,-86.19394,,Wynnedale Spring Hill
261,https://www.apartments.com/1104-n-dearborn-st-indianapolis-in/wegs1ml/,wegs1ml,46201,$850,2 bd,1 ba,"1,293 sq ft",65,38,$850 deposit,39.78276,-86.11143,,Near Eastside
262,https://www.apartments.com/lighthouse-landings-indianapolis-in/efqw9gn/,efqw9gn,46217,"$1,218 - $2,068",1 - 2 bd,1 - 2 ba,"890 - 1,100 sq ft",21,0,,39.66844,-86.19806,,Southern Dunes
263,https://www.apartments.com/726-n-denny-st-indpls-in-46201-indianapolis-in/9mx2gw7/,9mx2gw7,46201,$750,1 bd,1 ba,784 sq ft,51,35,,39.77731,-86.09996,,Near Eastside
264,https://www.apartments.com/4211-stone-mill-dr-indianapolis-in/4kst73j/,4kst73j,46237,"$1,805",3 bd,2.5 ba,"1,446 sq ft",7,18,,39.68291,-86.09495,,South Emerson
265,https://www.apartments.com/2819-wortham-way-indianapolis-in/vd6jktd/,vd6jktd,46268,"$1,795",3 bd,2 ba,"1,769 sq ft",59,26,"$1,795 deposit",39.88862,-86.20985,,Crooked Creek
266,https://www.apartments.com/brockton-apartments-townhomes-indianapolis-in/n7gqz6n/,n7gqz6n,46220,"$759 - $1,584",Studio - 3 bd,1 - 2.5 ba,"444 - 1,650 sq ft",25,29,,39.85694,-86.11167,,Indianapolis
